1,01E+18;en;02-07-18 1:35;Twitter for iPhone;138;0;7725;WorldCup;BFM News;NewsBFM;fiiiiqqqq;In Your Pants;384;339
1,01E+18;en;02-07-18 1:35;Twitter Web Client;77;0;0;BRA,JPN,WorldCup;;;Hannah is recovering with some Pinot Grigio.;Leicester, England;1036;946
1,01E+18;en;02-07-18 1:35;Twitter for iPhone;138;0;762;WorldCup;Footy Jokes;Footy_JokesOG;ridho ahmad;SMQ - BDJ;283;259
1,01E+18;en;02-07-18 1:35;Twitter for Android;140;0;279;SaveTimeless;Save Timeless,Amazon Studios;RenewTimeless,AmazonStudios;GeriS;Florida, USA;184;145
1,01E+18;en;02-07-18 1:35;Twitter Web Client;103;0;2;Iniesta,Spain,WorldCup,Russia;APN NEWS;apnnewsindia;satish kumar rai;;297;25
1,01E+18;en;02-07-18 1:35;Twitter for Android;64;0;4369;WorldCup;HRK800 Serial No. 191 919 199;MisterHeartz;jillyjune;ig ljunzul;873;326
1,01E+18;en;02-07-18 1:35;Twitter for Android;138;0;762;WorldCup;Footy Jokes;Footy_JokesOG;Rdeebeatz;Ghana;223;292
1,01E+18;en;02-07-18 1:35;Twitter for iPad;166;0;0;sportstalk,sportstalkradio,NBA,NHL,MLB,NFL,PGA,WORLDCUP;;;Michael Bari;Bridgeport, WV;651;535
1,01E+18;en;02-07-18 1:35;Twitter for Android;280;0;0;Robinhood,free,giveaway,gamers,LebronWatch2018,LeBronJames,Lakers,NBA,WorldCup,LakeShow,NASCAR,MagicJohnson,NBAFinals,ClawsTNT,PowerPremiere,PowerStarz,CroatiavsDenmark,PowerTV,Pride,Denmark,URUPOR;;;AlexVillas;;257;1818
1,01E+18;en;02-07-18 1:35;Twitter for iPhone;125;0;3;WorldCup;LeJuan James;LeJuan__James;Samaydaliz;Florida, USA;653;1936
1,01E+18;en;02-07-18 1:35;Twitter for iPhone;118;0;0;WorldCup;;;James Coomer;Sydney, New South Wales;9;16
1,01E+18;en;02-07-18 1:35;Twitter for iPhone;140;0;5;;United Indonesia,David De Gea;UtdIndonesia,d_degeaofficial;Isti Aristiputri;Makassar, South Celebes;498;370
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;139;0;1074;WorldCup,RUS,CRO,DEN,SWE,SUI,COL,ENG;Match of the Day;BBCMOTD;Tim;Perth, Western Australia;317;221
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;140;0;120;WorldCup;Castro1021;Castro1021;Dhiraj Ahuja;New Delhi, India;22110;4119
1,01E+18;en;02-07-18 1:34;Twitter for Android;139;0;4296;WorldCup;SPORF;Sporf;Boondock Saint;;447;1854
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;140;0;21;ESPRUS,WorldCup;Football Battles;FootbaIIBattIes;ethan;;46;179
1,01E+18;en;02-07-18 1:34;Twitter for Android;140;0;2;Japan,Belgium,WorldCup,Russia2018,JPN;Kyodo News Sports;kyodo_sports_en;Beauty and her bed.;;103;160
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;113;0;86;WorldCup;Soccer Memes;SoccerMemes;Gerson Ronaldo Arias;Los Angeles, CA;116;241
1,01E+18;en;02-07-18 1:34;Twitter for Android;86;0;27;FRA,URU,RUS,CRO,WorldCup;Saj Sadiq;Saj_PakPassion;Faysal Gill;Lahore;101;832
1,01E+18;en;02-07-18 1:34;OS X;145;0;0;WorldCup,TV;;;NBA World;United States;60960;39224
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;140;0;164;;Henry Jones;hdotjones;IZZY;;252;731
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;139;0;645;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;BIG B;Los Angeles, CA;22254;17405
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;140;0;530;WorldCup,RainbowSixSiege;PCGamesN,Rainbow Six Siege;PCGamesN,Rainbow6Game;Kalem Perry;;25;38
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;127;0;17990;FRA,FRAARG,WorldCup;Zach Townsend;fussballerisch;h.;alaska. ;12283;291
